time;position;velocity;reward;puff;CTRL;Cloud;Switch_ID;teleport;port_A;port_B;port_C;Trigger;optoport;Systime;Keyboard;
1,63;-495,5502;1;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.0915857;NONE;
1,64;-495,4302;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.1013344;NONE;
1,65;-495,4302;2;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.1104653;NONE;
1,66;-495,1902;6;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.1208949;NONE;
1,67;-494,4702;24;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.1305281;NONE;
1,68;-491,5902;51;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.1395971;NONE;
1,69;-485,4702;74;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.1493809;NONE;
1,7;-476,5902;123;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.1592748;NONE;
1,71;-461,8302;84;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.1693430;NONE;
1,72;-451,7502;87;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.1796540;NONE;
1,73;-441,3102;162;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.1905194;NONE;
1,74;-421,8702;56;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.1997783;NONE;
1,75;-415,1502;65;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.2086518;NONE;
1,76;-407,3503;40;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.2183827;NONE;
1,77;-402,5503;3;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.2283206;NONE;
1,78;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.2370481;NONE;
1,79;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.2473663;NONE;
1,8;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.2566004;NONE;
1,81;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.2668638;NONE;
1,82;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.2759284;NONE;
1,83;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.2858979;NONE;
1,84;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.2949468;NONE;
1,85;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.3138378;NONE;
1,86;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.3234694;NONE;
1,87;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.3330101;NONE;
1,88;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.3426082;NONE;
1,89;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.3526846;NONE;
1,9;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.3621689;NONE;
1,91;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.3706055;NONE;
1,92;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.3809030;NONE;
1,93;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.3903978;NONE;
1,94;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4001239;NONE;
1,95;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4093853;NONE;
1,96;-402,1903;0;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4196053;NONE;
1,97;-402,1903;2;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4284074;NONE;
1,98;-401,9503;7;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4383086;NONE;
1,99;-401,1103;10;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4484308;NONE;
2;-399,9103;44;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4575512;NONE;
2,01;-394,6303;71;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4675168;NONE;
2,02;-386,1103;85;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4776873;NONE;
2,03;-375,9103;129;0;0;0;1;8;0;0;0;1;0;0;2024-03-04 13:05:54.4876156;NONE;
